WBS ID,Original task ID,Task description,Planned Duration (days),Predecessor,Following,Role,Resources (people),Effort (hrs),Hourly Rate (AUD),Total Task Cost (AUD),Explanation
1,,Project initiation and planning phase,,,,,,,,,This task supports project initiation and planning phase as part of the workflow.
1.1,,Activity definition and basic setup,,,,,,,,,The purpose here is to manage activity definition and basic setup.
1.1.1,T001,Identify NEC event sponsors,16,,"1.1.2, 1.1.8, 1.1.11","Project Director, Vendor Relations Manager",4,58,108,6281,The team is expected to identify nec event sponsors.
1.1.2,T002,Draft EMS Festival budget,22,1.1.1,"1.1.3, 1.1.5, 1.1.6, 1.1.7","Project Director, Operations Manager",1,128,54,6909,"To ensure progress, this task will draft ems festival budget."
1.1.3,T003,Book NEC festival venue,24,1.1.2,"1.1.4, 1.1.10","Project Director, Event Coordinator",1,117,47,5539,This step requires the team to book nec festival venue.
1.1.4,T004,Develop project charter,16,1.1.3,"1.1.8, 1.1.9","Project Director, Operations Manager",2,138,60,8305,An important action here is to develop project charter.
1.1.5,T005,Develop project charter,9,1.1.2,-,"Project Director, Operations Manager",2,138,60,8305,One of the key steps here is to develop project charter.
1.1.6,T006,Define project scope statement,24,1.1.2,1.1.7,"Project Director, System Architect, Scrum Master/Agile Coach",4,74,91,6767,This step requires the team to define project scope statement.
1.1.7,T007,Define project scope statement,10,"1.1.2,1.1.6","1.1.10, 1.1.12","Project Director, System Architect, Scrum Master/Agile Coach",4,74,91,6767,The team is expected to define project scope statement.
1.1.8,T008,Identify project stakeholders,16,"1.1.4,1.1.1",1.1.9,"Project Director, Event Coordinator",1,74,58,4291,An important action here is to identify project stakeholders.
1.1.9,T009,Create stakeholder communication plan,24,"1.1.4,1.1.8",-,"Project Director, Scrum Master/Agile Coach",2,144,66,9564,The purpose here is to manage create stakeholder communication plan.
1.1.10,T010,Develop Risk Management Plan,22,"1.1.3,1.1.7",1.1.11,"Operations Manager, Cybersecurity Engineer, System Architect",3,207,93,19189,The team is expected to develop risk management plan.
1.1.11,T011,Define change management process,16,"1.1.10,1.1.1",-,"Operations Manager, Scrum Master/Agile Coach, System Architect",1,144,45,6525,"To ensure progress, this task will define change management process."
1.1.12,M001,[Milestone] Complete Project Planning Phase,11,1.1.7,1.2.1,"Project Director, Operations Manager, Scrum Master/Agile Coach",2,144,61,8719,It helps coordinate [milestone] complete project planning phase within the project.
1.2,,Security System Phase,,,,,,,,,It helps coordinate security system phase within the project.
1.2.1,,Security System - Coding Work,19,1.1.12,"1.2.2, 1.2.3, 1.2.7, 1.2.8, 1.2.11, 1.2.13",,1,27,50,1338,This task supports security system - coding work as part of the workflow.
1.2.2,T015,Frontend login authentication module,17,1.2.1,"1.2.3, 1.2.4","Frontend Developer, Cybersecurity Engineer, API Engineer",3,128,88,11279,The purpose here is to manage frontend login authentication module.
1.2.3,T016,Backend encryption for user data,14,"1.2.1,1.2.2","1.2.5, 1.2.9","Backend Developer, Cybersecurity Engineer, Database Administrator",1,191,51,9833,It covers backend encryption for user data in the overall process.
1.2.4,T017,Token-based session management,5,1.2.2,"1.2.6, 1.2.7, 1.2.9","API Engineer, Backend Developer, Cybersecurity Engineer",1,80,49,3950,This section emphasizes token-based session management to maintain progress.
1.2.5,T018,API Gateway security policies,9,1.2.3,1.2.10,"API Engineer, Cybersecurity Engineer, System Architect",1,133,54,7206,The purpose here is to manage api gateway security policies.
1.2.6,M002,[Milestone] Complete Coding Phase,8,1.2.4,-,"Operations Manager, Scrum Master/Agile Coach, System Architect",2,149,60,8933,It covers [milestone] complete coding phase in the overall process.
1.2.7,,Security System - Testing,15,"1.2.4,1.2.1",1.2.10,,2,159,62,9872,This task supports security system - testing as part of the workflow.
1.2.8,T019,Unit Testing of modules,16,1.2.1,-,"QA Test Engineer, Frontend Developer, Backend Developer",1,165,50,8332,It helps coordinate unit testing of modules within the project.
1.2.9,T020,Integration Testing across systems,10,"1.2.3,1.2.4",1.2.12,"QA Test Engineer, System Architect, DevOps Engineer",2,101,64,6502,It covers integration testing across systems in the overall process.
1.2.10,T021,Security Vulnerability Scan,19,"1.2.5,1.2.7",-,"Security Tester, Cybersecurity Engineer, API Engineer",1,96,57,5451,The purpose here is to manage security vulnerability scan.
1.2.11,T022,User Acceptance Testing (UAT),6,1.2.1,-,"UAT Specialist, QA Test Engineer, Frontend Developer",2,32,61,1946,This task supports user acceptance testing (uat) as part of the workflow.
1.2.12,T023,Penetration Testing,10,1.2.9,-,"Security Tester, Cybersecurity Engineer, Emergency Response Specialist",1,213,53,11227,This task supports penetration testing as part of the workflow.
1.2.13,M003,[Milestone] Complete Security System Testing,21,1.2.1,1.3.1,"Operations Manager, Cybersecurity Engineer, Security Tester",2,53,66,3513,It helps coordinate [milestone] complete security system testing within the project.
1.3,,Logistics and partner management,,,,,,,,,It helps coordinate logistics and partner management within the project.
1.3.1,T024,Plan transportation for artists,23,1.2.13,1.3.2,"Event Coordinator, Production Manager",4,64,105,6732,The project team will need to plan transportation for artists.
1.3.2,T025,Negotiate vendor partnerships,9,1.3.1,1.3.3,"Vendor Relations Manager, Project Director",1,112,48,5327,This task supports negotiate vendor partnerships as part of the workflow.
1.3.3,T026,Outline sponsorship package,11,1.3.2,1.4.1,"Project Director, Vendor Relations Manager, Event Coordinator",1,37,46,1701,The purpose here is to manage outline sponsorship package.
1.4,,Market analysis and research,,,,,,,,,It covers market analysis and research in the overall process.
1.4.1,T029,Develop NEC internal project timeline,10,1.3.3,"1.4.2, 1.4.3","Operations Manager, Scrum Master/Agile Coach, System Architect",1,154,50,7634,This activity aims to develop nec internal project timeline.
1.4.2,T031,Survey potential attendees,24,1.4.1,-,"UI/UX Designer, Frontend Developer, Mobile App Developer",3,122,92,11237,The purpose here is to manage survey potential attendees.
1.4.3,T032,Estimate ticket demand,15,1.4.1,1.4.4,"Ticketing System Specialist, Database Administrator, Event Coordinator",2,165,64,10586,This task supports estimate ticket demand as part of the workflow.
1.4.4,T033,Assess site accessibility,19,1.4.3,1.5.1,"Production Manager, Network Engineer, System Architect",2,53,60,3165,The purpose here is to manage assess site accessibility.
1.5,,Site and operation planning,,,,,,,,,This section emphasizes site and operation planning to maintain progress.
1.5.1,T034,Plan waste management needs,14,1.4.4,"1.5.2, 1.5.3, 1.5.5","Production Manager, Event Coordinator",1,202,46,9195,This step requires the team to plan waste management needs.
1.5.2,T035,Identify parking logistics,16,1.5.1,"1.5.4, 1.5.5","Production Manager, Event Coordinator",3,90,98,8796,"To ensure progress, this task will identify parking logistics."
1.5.3,T036,Evaluate food vendor capacities,25,1.5.1,-,"Vendor Relations Manager, Production Manager",4,106,96,10226,This step requires the team to evaluate food vendor capacities.
1.5.4,T037,Forecast weather contingency plans,8,1.5.2,1.5.7,"Production Manager, Event Coordinator, Operations Manager",2,207,67,13927,The purpose here is to manage forecast weather contingency plans.
1.5.5,T038,Prioritize family zone activities,7,"1.5.1,1.5.2",1.5.6,"Event Coordinator, Production Manager",1,37,50,1838,This task supports prioritize family zone activities as part of the workflow.
1.5.6,T039,Confirm security staffing requirements,8,1.5.5,-,"Operations Manager, Cybersecurity Engineer, Emergency Response Specialist",1,27,53,1426,"To ensure progress, this task will confirm security staffing requirements."
1.5.7,T040,Analyze entry point congestion risks,10,1.5.4,2.1.1,"Operations Manager, RFID Technology Specialist, System Architect",3,48,89,4256,This section emphasizes analyze entry point congestion risks to maintain progress.
2,,Design and development phase,,,,,,,,,The purpose here is to manage design and development phase.
2.1,,Branding and Visual design,,,,,,,,,It covers branding and visual design in the overall process.
